location,lon,lat
GURI YISRA'EL,34.779913,32.042632
DIMONA,34.798715,32.05768
Mandelstam Emmanu'el Dr,34.776567,32.09062
BEGIN  MENAHEM,34.780667,32.06278
BEGIN  MENAHEM,34.782351,32.065152
BALFOUR,34.773539,32.067434
ANDERSEN,34.797474,32.113981
ZALMAN SHAZAR,34.764362,32.039131
YAD-HARUTSIM,34.783544,32.061787
BRODIE,34.800486,32.11011
MEYZAN,34.816498,32.120216
MOTZKIN,34.775025,32.090742
FIKUS,34.750827,32.036292
OHEV YISRAEL,34.752102,32.039552
EHUD,34.833736,32.123329
HUBERMAN,34.779961,32.071941
SHULAMIT,34.775837,32.078875
HAMELACHA,34.786146,32.066674
HAHASKALLA,34.797254,32.070432
READING,34.795403,32.103959
SHVIL HARAKEFET,34.800634,32.068028
ROTHSHILD,34.769726,32.062895
HAHAYIL,34.794993,32.056495
HARAKEVET,34.779829,32.062394
IBN GVIROL,34.782637,32.087085
SHIPER,34.777189,32.049365
PINES,34.766225,32.062324
BEGIN  MENAHEM,34.791393,32.073901
DUBNOV,34.783783,32.07458
SAMUEL,34.767253,32.078844
KALMAR,34.797608,32.062601
YIG'AL ALLON,34.79109,32.055995
MOSHIA,34.794414,32.051466
MOSER,34.78501,32.088905
HAHASKALLA,34.796182,32.066399
FlAKERA,34.776363,32.052045
HAGEISOT,34.79559,32.06181
BERCOVITCH,34.793245,32.069116
LURIE,34.772272,32.077632
KEREM CHEMED,34.782577,32.04944
METULA,34.765567,32.064395
YISRAEL MERIJIN,34.754228,32.039196
ROSEN,34.826157,32.114606
KAPLANSKI,34.778613,32.044349
TSAHAL,34.835134,32.12134
EINSTEIN,34.797102,32.112516
ABA AHIMEIR,34.803747,32.12501
EINSTEIN,34.797102,32.112516
DASHEVSKY,34.78012,32.044095
AHAD HA'AM,34.770406,32.06413
FRISCH,34.78356,32.074596
TAMUZ,34.790727,32.044481
GRIZIM,34.776884,32.089487
PESTALIZZI,34.757821,32.047057
LEHI,34.796327,32.047103
AHAD HA'AM,34.774654,32.064622
YAD LABANIM,34.797812,32.060824
APHALTON,34.747247,32.033703
MARKUS,34.83563,32.113648
YIG'AL ALLON,34.792083,32.05885
KEHILAT LODZ,34.816117,32.107593
READING,34.795201,32.104462
ASA'EL,34.8385,32.122606
MISALANT,34.781173,32.049995
YAPHE BETZALEL,34.774734,32.065343
MEIR DIZENGOFF,34.776023,32.075243
KAZENELSON BAT-SHEVA,34.794057,32.048892
HA'ARBA'AH,34.786578,32.070201
RIVAL,34.782554,32.06286
FRANCE,34.748028,32.041677
Schulman Kalman,34.79743,32.068684
HA-BARZEL,34.836621,32.106918
QADESH BARNEA,34.81424,32.112811
HALOTUS,34.751218,32.043246
LEHI,34.793631,32.047365
HA'AVODA,34.775705,32.070177
KFAR YONA,34.800686,32.109275
HANAGARIM,34.765483,32.056536
MORDEKHAI MEYER,34.815709,32.121619
PESTALIZZI,34.757396,32.045948
MISALANT,34.781591,32.050192
PATTERSON,34.790679,32.057339
IBN GVIROL,34.780976,32.082615
ROTHSHILD,34.774364,32.064486
SHALMA,34.77933,32.053407
MISALANT,34.781644,32.050372
BEGIN  MENAHEM,34.786462,32.067846
PAHAD YITZHAK,34.747258,32.035376
BEGIN  MENAHEM,34.795828,32.079412
HAPALMAH,34.796252,32.062747
ELHANAN EIB LEVINSKY,34.771928,32.060151
YITZHAK ELHANAN,34.764911,32.065086
TSHARNO,34.802556,32.057233
LUNZ,34.779651,32.069829
AMISHAV,34.804595,32.063763
HA'ARBA'AH,34.786874,32.070482
,34.788661,32.061806
Ankawa Refa'el HaRav,34.801043,32.047988
OLEY HAGARDOM,34.83408,32.110142
HISUSHEY HARIM,34.753886,32.043754
FRENKEL,34.771129,32.057126
HANATSIV,34.790156,32.068957
KEDEM,34.748453,32.046853
YAD LABANIM,34.796688,32.061379
ZIRELSON,34.793077,32.095494
SHIR,34.77382,32.085815
ARGOV ALECKSANDER,34.830652,32.125931
RABBII BA'AL HANESS,34.7749,32.049707
KAM,34.837586,32.113873
SAMUEL,34.767034,32.077373
MIGDAL SHORSHAN,34.813762,32.118053
MEIR DIZENGOFF,34.776499,32.093947
BASEL,34.779957,32.090066
ANILEVICH,34.787609,32.056958
AMIKAM,34.775508,32.045286
DUBNOV,34.789345,32.065608
PLITE'I HASFAR,34.801203,32.069134
ETSEL,34.791474,32.051839
2229,34.843336,32.11551
BEN ZVI,34.759597,32.051097
BITSARON,34.797696,32.0671
Se'adya Ga'on,34.782239,32.065591
YEFET,34.746167,32.034158
Goldman Nahum,34.757618,32.056743
LEHI,34.794173,32.047419
RABBI PINCHAS,34.755035,32.052962
FRISHMAN,34.771883,32.079559
ASA'EL,34.838219,32.123851
ZEITLIN,34.787731,32.070138
IR SHEMESH,34.826943,32.124262
LEVITE,34.832745,32.112409
YIG'AL ALLON,34.795995,32.074503
HAMAKABI,34.771302,32.071535
BASEL,34.780046,32.089907
VE'IDAT KATOWITZ,34.792006,32.095238
SHAPIRA HERMAN,34.778272,32.075225
BEN-YEHUDA,34.773173,32.089028
YERUSHALAYIM,34.760016,32.054005
GRONEMAN,34.797514,32.105047
LEBANON HAYIM,34.799142,32.105682
YAD LABANIM,34.798546,32.06085
HACHATSOTSRA,34.77776,32.043953
NILI,34.775563,32.047282
DIK,34.778666,32.041991
KALISCHER,34.768162,32.066988
VALENBERG,34.835345,32.106701
BEGIN  MENAHEM,34.791393,32.073901
CANADA COMMUNITY,34.753057,32.032742
DEQEL,34.768526,32.040453
MASARYK,34.778582,32.078524
AHAD HA'AM,34.773425,32.064235
HAKINOR,34.781141,32.045733
RINGELBLUM,34.779336,32.040199
IBN GVIROL,34.782416,32.071608
,34.792031,32.062142
HA'AVODA,34.772754,32.070892
BAAL HA'AKEDA,34.778823,32.052562
PATAI,34.800513,32.107702
ZEID,34.780186,32.045906
KAM,34.835642,32.117504
GIV'ATI,34.79627,32.051148
KEHILAT WARSHA,34.819731,32.112031
ANTIGONOS,34.784807,32.092542
YIG'AL ALLON,34.793547,32.067229
KEHILAT BIALISTOK,34.820513,32.109518
KEDEM,34.746739,32.037151
BEGIN  MENAHEM,34.794948,32.078791
TOSEFTA,34.798633,32.096756
MAZAL DAGIM SIMTAT,34.752608,32.05341
Monash John Sir,34.793808,32.057489
PINKAS,34.789464,32.090792
ZAKUT,34.817399,32.108696
HAGOLAN,34.839102,32.114905
Sha’ul HaMelekh Blvd,34.79531,32.068041
KALISCHER,34.768111,32.06669
HAKNESET HAGDOLA,34.798209,32.097602
VALENBERG,34.837751,32.10991
YEFET,34.752445,32.049718
YAD LABANIM,34.795379,32.060907
ELHANAN EIB LEVINSKY,34.778408,32.057672
LUBETKIN,34.806934,32.048748
YEHUDA HALEVI,34.770852,32.061678
DAFANA,34.796712,32.068803
HASHALOM,34.805314,32.061875
NIRIM,34.790844,32.062607
BALFOUR,34.772218,32.06815
YECHEZKE'EL,34.777525,32.093278
ETSEL,34.791395,32.052542
MOTZKIN,34.775197,32.091998
TUREY ZAHAV,34.780253,32.052153
DAFANA,34.793123,32.080806
FERDINAND LASSALLE,34.77205,32.086273
KAM,34.8382,32.115895
HAYARKON,34.770987,32.089251
MENDELI MOKHER SFARI,34.77143,32.079217
TOTSERET HA'ARETS,34.7967,32.073499
HA'ARBA'AH,34.787635,32.070451
TUVAL,34.795268,32.070305
AZA,34.759475,32.049081
HAKIM ELIYYAHU,34.801474,32.12515
PINSKER,34.770017,32.074173
VALENBERG,34.839464,32.11145
HAPHETZ HAYIM,34.799586,32.07496
ASHDOD,34.76062,32.040816
ETSEL,34.793367,32.047986
TRUMPELDOR,34.767834,32.075596
RIVAL,34.784992,32.062302
HA-BARZEL,34.838869,32.108086
KARNI Y,34.793336,32.104894
HA-BARZEL,34.840806,32.109729
BO'AZ,34.795009,32.049499
LEHI,34.79658,32.047081
MARMOREK,34.780898,32.071198
ROKACH,34.76633,32.060817
AHAD HA'AM,34.769525,32.063453
YAD LABANIM,34.797173,32.060416
HASHOFTIM,34.782774,32.076774
AMISHAV,34.807853,32.059876
OPATOSHU,34.781173,32.041477
IBN GVIROL,34.782426,32.072744
Monash John Sir,34.793789,32.057131
BILU,34.779779,32.069513
ASHERMAN,34.808042,32.057633
ADAM HAKOHEN,34.777484,32.085548
BEYT OVED,34.787003,32.064608
BEKER AHARON,34.816837,32.122909
LEVONTIN,34.775028,32.061508
HATIKVA,34.789704,32.050426
HOS DOV,34.772699,32.08049
SCHNEUR SALMAN,34.770446,32.074163
HA-TET-ZAYIN,34.834749,32.115748
YIG'AL ALLON,34.794136,32.069456
FRISHMAN,34.77471,32.079582
BEGIN  MENAHEM,34.78496,32.066532
HASHALOM,34.795616,32.072371
BEYT OVED,34.78827,32.064149
HA'ARBA'AH,34.787213,32.070553
YEHUDA HALEVI,34.771674,32.061532
OLEY HAGARDOM,34.836054,32.111741
BOURLA,34.790244,32.107646
MICHA,34.776169,32.094125
BEN-YEHUDA,34.775522,32.095647
BEGIN  MENAHEM,34.789731,32.072885
MEIR DIZENGOFF,34.776677,32.095608
ELAZAR HAHOANY,34.785941,32.093134
HAYARKON,34.76939,32.083037
KEHILAT WARSHA,34.819917,32.111307
GAN MEIR SIMTAT,34.773645,32.072846
HASSOLELIM,34.795888,32.069888
YIG'AL ALLON,34.794059,32.070044
TOULOUSE,34.748078,32.039861
HA-HASHMONA'IM,34.785178,32.069173
HAPHETZ HAYIM,34.79816,32.074024
BEGIN  MENAHEM,34.781363,32.063726
DAM HAMAKABIM,34.800268,32.069044
KEHILAT KARAKOV,34.821369,32.110254
BALABAN,34.778054,32.049465
ARLOZOROV,34.786403,32.084786
TSAHALIN HAROFEH,34.756222,32.044019
HATZEVI,34.809668,32.057217
BAT AYIN,34.754032,32.04183
ISSERLES,34.79226,32.071657
MODIGLIANI,34.78482,32.080762
ERTER,34.797651,32.069481
HAPARDES,34.780341,32.083563
ELHANAN EIB LEVINSKY,34.779829,32.056485
OLEY TSIYON,34.756994,32.052144
HUBERMAN,34.780222,32.072644
HAGHARA,34.781864,32.059304
YAD LABANIM,34.793371,32.060892
DR. EHRLICH,34.753216,32.047027
MOTZKIN,34.774888,32.089818
ANILEVICH,34.787823,32.056706
VERED,34.793953,32.05275
PHILADELPHIA,34.840309,32.121429
KEHILAT WARSHA,34.822347,32.108941
ROTHSHILD,34.775123,32.063455
HARAV MARK,34.817235,32.111047
HAKESHET,34.775044,32.044339
LEVITAN,34.798107,32.1195
HAHASHMAL,34.775294,32.061218
KEHILAT LODZ,34.816783,32.109663
YEHOSHU'A HATALMI,34.768468,32.062534
WEIZZ,34.8025,32.110511
NISSIM  ALONI,34.798663,32.088668
Kibbuts Galuiot,34.766231,32.05267
YAFO,34.77201,32.0605
HASAYARIM,34.797987,32.061812
HAYARKON,34.773522,32.092018
ARLOZOROV,34.787297,32.08446
KEDEM,34.746411,32.039808
REMBA,34.807287,32.105203
HAKEREM,34.769936,32.0832
TEVUOT HA'ARETS,34.828059,32.111949
BINYAMIN MITODELO,34.828569,32.109505
BERCOVITCH,34.787076,32.078614
BERCOVITCH,34.790851,32.067528
VITAL,34.767798,32.056853
YIG'AL ALLON,34.792164,32.065219
HADAR YOSEF,34.819166,32.108922
HASHARVIT,34.777,32.041545
,34.791983,32.079571
HAYARDEN,34.766156,32.074155
SHLISHET HACHITSIM,34.773008,32.044025
MARK ANTOKOLSKI,34.782856,32.084086
MOSHE DAYAN,34.799089,32.066062
BURMA,34.772909,32.043055
HA'ALIYA,34.773962,32.058993
H A'ARAD,34.840324,32.112455
PESTALIZZI,34.756627,32.046739
YEHUDA HALEVI,34.772138,32.062491
SCHNEUR SALMAN,34.77033,32.074272
HAGOLAN,34.839494,32.113825
KAPLAN,34.784878,32.073681
HARAKEVET,34.782192,32.060225
HAHAYIL,34.798211,32.056434
HARAKEVET,34.77984,32.062274
YOTZER,34.778935,32.089153
ETSEL,34.791294,32.053157
OLEY HAGARDOM,34.834112,32.111139
HAGOLAN,34.838383,32.112372
NAHAL SOREK,34.760734,32.039688
HA'EFRATI,34.81813,32.107389
Sha’ul HaMelekh Blvd,34.78998,32.06589
YIG'AL ALLON,34.792148,32.055898
TSIHATLI,34.755758,32.041495
KALMAR,34.797204,32.062587
ELHANAN EIB LEVINSKY,34.779829,32.056485
CAHANEMSTEIN,34.788801,32.089679
SIMTAT GUR ARYE,34.778292,32.081547
BEN AVIGDOR,34.788925,32.067783
RESHEF,34.793865,32.05344
ZOLA EMILE,34.773319,32.08232
YEHUDA HALEVI,34.776411,32.062851
HANCHOSHET,34.839089,32.108786
DERECH HA'HAGANA,34.796912,32.053328
SCHNEUR SALMAN,34.770572,32.074043
BEGIN  MENAHEM,34.788987,32.072029
TCHERNIKHOVSKY,34.772032,32.073549
HAGOLAN,34.831855,32.107809
GIV'ATI,34.795002,32.051528
,34.79303,32.06187
,34.775667,32.063376
,34.783526,32.065504
,34.78823,32.070476
,34.792172,32.077338
,34.795669,32.081356
